PC1,PC2,PC3,PC4,PC5,PC6,term
-195661950967964,-604330701814752,698086282936677,-157006875706983,159958466429778,59491519672796,roots reggae
-210220913126687,-160234974857143,683153382953325,-8495879482811,-459399125526295,564873021170904,folk rock
-169848601526455,981917076332397,959080124724569,-131072211544286,120455080633393,543109568161101,opera
-145819889388643,312852777084156,780652150212597,-382987983633996,268812160700634,518446307139011,brazilian jazz
-192409713336779,-455790286726021,165738618971766,978652930590156,-170658920407552,49621966316915,hard house
-200018002006289,-144529030854874,12234112606298,360817660291636,108777681870337,499490630647438,progressive house
-191872887451593,-228472346153937,-125439888295519,753278796856408,-328934886124763,440579780259182,sludge metal
-188034875057409,-524701452884909,150503895179599,-655835664888703,-35466579576534,450075902660408,eurodance
-174645627485643,101924654351708,136126685355224,-291458402600554,-501526091590038,430203270499727,texas blues
-215587939623766,-161408937654226,1206513272222,376051730584945,131663737701037,439292511346252,hip hop
-193410796404101,-504953794026936,443277356125138,317004995906092,-396531697864549,441115076664549,breakbeat
-819138336587015,1268609317349,-689654107742353,510732398253177,171253183929816,131475676519171,east coast blues
-145231576145943,-115733722683318,-143657282285541,-443107807373258,-100912371294964,225655718640819,latin jazz
-16924412392284,246415985878024,-227329566681338,-250043129298885,-668426620816333,437179053989314,electronica
-182508167886767,-349872830721461,55992636720719,-827026506613169,-28684126354663,428914901027976,hard house
-187149224745086,-4523910161376,1554754341917,-604002253343762,-577783972904254,436054461997056,electro
-187564440771669,-89675800336758,106929529562489,286291548166917,876719926365565,430688588545109,post-grunge
-152939950089523,166442680233432,12384002017446,-1644720709465,343370312451315,405268523702469,deep house
-161706088708866,448947595420946,-109123607151444,-879057904632582,831850946699759,377269138153101,texas blues
-170311010415764,595980899061867,236892294713123,178216176421968,473154297123905,365040113079531,electronic
-18195884375867,-819948942419444,537344496753059,171342291949283,51818054134431,377341463813146,progressive metal
-182691136794991,-497406133781253,-456449916395112,-32726643218372,-689955616360752,37251091913432,dirty south rap
-16907422655504,777509882368825,664300189926183,-239590476927145,-413274071530887,37071920461163,ccm
-184997185011469,-769760019354554,154142798308947,-995114293828713,-128930363272541,379308636350182,gaita
-17261885042574,-667251825270251,-161425550906143,141439747111532,128971410734162,329583553951228,alternative metal
-133470757598638,357122362600157,-898517554366596,182932224822484,20634337024932,307443945245144,folk rock
-165438947249269,246711635339961,-437745508195955,230532163235709,667896331860092,340890186385287,jazz funk
-179004690361451,-616004096684711,-236529506551805,132080964440339,34306713085529,348249268444038,hip hop
-158753491278175,544136608448611,130398811891739,-943506384583265,115436120430863,345105157128045,chamber jazz
-188119143798721,-121500028840913,113513591600674,964144127414935,381220140453756,354182021435428,black metal
-15005467688944,140049981988157,633580294285844,-464382803451164,684190118640981,335363718533624,chamber jazz
-179577947721272,-764437192808162,282559409587954,273813560018073,113258057285878,340194316094758,dance pop
-173690359200897,-837005397693403,-692509426980376,178139517909759,977381248228758,335361041203751,blues-rock
-171183893546377,137863391875946,172639666109707,148758662713004,-105754929128732,312318453819741,blues-rock
-170801533185028,255413528478497,50104014358756,319583168937816,538734339861109,325234445300709,new wave
-149461823081928,200001339201679,916867371078294,-629924928420322,-647477557838302,319279082426404,chamber pop
-173411620115579,106099849749254,951204147224144,157022613212647,-759178619229161,31939981217116,comedy
-150694590348218,10705943990782,-143126409367973,-200267473357277,-893002484807685,314357267653757,roots rock
-175843755703087,-106397280870205,737244556664738,-127264441641502,69734165669446,334219936082954,trip hop
-170223435839752,-195872324302146,417327594025024,-345560291448594,-177276227924269,330123005586893,chill-out
-173550865371555,-26183523821183,-159024353079178,676187064594729,21522831833984,313490989920218,smooth jazz
-165771006654429,-14227948858517,-182502241293351,-503419245352583,-873299696455615,307671093741216,dance pop
-159111924977394,176592706929626,-104370908486622,-731756370534766,144045061802557,300183297254478,latin jazz
-171825313335456,-295797870064077,100378151671015,606602065669,381125265066451,312983085483843,california
-179694373111381,-811890819546021,153286086606432,307062392122709,-274095657029929,322591582991218,gangster rap
-161224976453496,101930833612683,126179372193615,167752195012429,961861433130782,314681421862032,ccm
-17894132435703,-119374007596047,-38394717307889,935956378433284,854044095068407,310527031445615,blues-rock
-183061815345518,-114757683878271,900978563329938,-207928046902811,-857177609943538,325750822821284,blues-rock
-168330716861114,132577718038185,74597623540555,131082208605261,-119209222985795,29686294989045,reggaeton
-159283672966298,910287625590699,167406349189868,-122927228619775,-162351497553716,304189995087495,techno
-155449347435834,612144886898021,-91072339353749,-734242416260012,-16869349131513,294769177964854,hard rock
-155479034944356,110537770321829,-110538805312361,36600460357011,111179403026378,277144718878385,singer-songwriter
-135413972114346,212963891868211,-651208113494105,29159711268361,112103287046569,254276320911066,meditation
-146142940587421,97683215028729,140985075143988,-144420638899371,102167109883693,276208027914994,nu jazz
-179907390944951,-231251048687808,72419895143572,646327757015699,152467782114266,278932867383213,grunge
-166086877420273,-379720821730681,-105663521168108,577072215331604,348043657929814,255434900581461,future jazz
-164239469299458,421446616908188,-183216271413381,550992101217703,-591766270145898,258039146510484,flamenco
-162046478283417,-13456386857679,721467786941035,-369143179498757,-176104411687842,269995819973838,new jack swing
-156406903690254,-625634989139256,-107905412499097,-70977497857479,493095620228887,255142572725148,country gospel
-149281955262209,136865765906685,-262712538860418,-953142241495575,655478314635544,257781593643771,instrumental rock
-122034502737386,26289483663136,107509807467353,-523436294095765,188684989989312,244521570335483,j pop
-138727133956143,833794521977761,665710199516157,375711531063628,243132635487892,245914227106122,techno
-165512053983753,-32089839912734,726799982127061,401877551963218,743459435476461,257423066910796,blues-rock
-176694687309055,-156432161027694,-734342831733151,133474635023942,101411076845368,248383402349316,post-hardcore
-150570426915085,133084843093077,149520654046883,82009171259822,198527400337927,245205623984559,pop rock
-161157165661875,-176615801377884,44853815648793,857230869485176,-376498444592279,242926863079351,viking metal
-149966639280714,788662485884427,122781675980574,-122456667005874,-116727773741786,234229531637048,disco
-161323522885268,-208510856706331,-157168118961538,468894211604615,16308307881274,220597827263731,big beat
-154885497604249,597626593950687,-133343345069629,-115295378986441,-951568163316521,215390145573871,dance pop
-167152774295434,5640380706375,-586124567234716,243305116007935,-298029384872014,212626972932499,illbient
-160790224614933,-508433400129126,653254412390307,-432949433032085,-325066755100922,228042316575994,jungle music
-166332626611324,582982543859139,175460644017537,152140162713201,-999564882856719,225454904693592,heavy metal
-167280079888779,-114701228971321,264828753519283,-81564890686597,-906687924616725,227527148832153,jungle music
-15081575131399,-727965705480129,130439061557245,-15080180699637,249655971693475,221330568400995,salsa
-136032698728181,110770109602706,-854590563308401,-481530659680699,427291238830595,191477667172774,chanson
-358573460481194,486885653265437,110154178084845,-930148580094761,132384905225609,123270115819396,louisiana blues
-151317887214558,-747165381284296,101844491543342,-841387909312173,68708221801145,213114763961913,pop rock
-14465588298214,868736081689526,-135657264378263,193632713960351,-807728012807704,186200950128628,soul jazz
-14322333710241,271556622050921,128739828690951,-108754842089328,922672378125503,211289119246978,blues-rock
-160047357944566,-558409223990527,-757013536278932,918785717813502,-366738877711041,198505944386782,death metal
-10494402171025,-492511780260512,-164297590739588,-529439226735343,-64595281406766,708482757424493,horror punk
-162774288800889,-15752749834526,52124928577791,-2603612825339,-172088287560664,20585665155531,brazilian jazz
-14665668007452,-448612364280366,369842429038382,-622016813540893,250989152040738,203453296683836,ccm
-158985421022813,-963675848229434,621246305088771,-11268338194443,-109725457947697,190982450502152,roots reggae
-137009818026214,615779267062809,-156271434920645,986750494168107,17183436499738,158147467714411,instrumental rock
-153400483190673,-782551683779946,140058007939946,-436455738043642,249846288937701,192918519331659,breakbeat
-153605211553305,-176889517869258,-716442288516031,-381269795814708,149026002215012,172760856612996,jazz funk
-122929414895918,186506632603099,-946726128563556,-153137349178305,-678073651557524,15396640946644,tech house
-126248561703569,1346639519205,-539716950037532,-605346056133691,557432300025068,155222010569734,los angeles
-132669433368534,576511130892511,-436234927108671,-698617843917398,677416009781385,160391455183524,sludge metal
136447297280317,235152054394694,-127887253869599,-420535177603911,134056779010695,136972053738073,disco
-153986965436453,-625926988730282,-246156122409535,930606264100549,747374280470889,160325096153821,folk rock
-138178720306116,901985608869867,124885835196048,90165110957001,864538224199679,164745147931644,ragtime
-124708648907276,127852208876533,295992019591187,-920252373515425,517938733306624,158660009722948,swamp rock
-151588681235609,110469945727176,-462164248796904,193675998368592,-737398813640801,14745021230496,texas blues
-146307907866287,-108747783700929,-140656894265842,-802670139093897,846048233348794,160620158400573,power metal
-132812116136151,167813026648636,-109998084453001,-677358483446094,-139914986466731,143080374077411,blues-rock
-156493538717282,-110516159629018,-619084961698999,305258770217227,311149263073463,157724911041213,alternative metal
-126207688683836,491566362569774,-242076199291482,-17087041797629,517819262967815,152289993318477,lovers rock
-147180420510873,146651605194985,-658553245183337,16496939544161,-110318314348692,136232872705594,latin jazz
-146351818546651,-269743049302454,377076792494025,482406285999839,688557103811197,151594021742161,folk-pop
-149427399365422,-256073141727802,-994877461293351,711642158598699,201864410559078,137897716346395,british pop
-14570772489934,-14044594976187,107968604538178,-231403923296034,187644433544598,159365809537965,brill building pop
-129752793023705,-281271302901837,-45919557762403,-191656699233299,766877786739269,148288007402269,broken beat
-123242719477275,132655818046121,119466114840856,-193271953965634,991481261658816,140545937082584,chill-out
-135741607607708,-771767080824142,-589708971967047,168995234224933,146559387988187,136209823847945,blue-eyed soul
-130959726918244,-639224293302134,308083826420463,-182212834117473,119589067148954,148077233906986,gospel
-150160748420559,-514132564893124,-486902230589151,125106225526595,78749139584561,129329175597016,heavy metal
-152930478743164,80216722501586,-480596084817245,198131334079341,-105329891670892,12302369655341,blues-rock
-149453394581434,630494055651412,112143965353278,2005014071688,-148880750771661,128050123040722,alternative dance
-154381009264159,-163606485344634,760763939996813,-118741278947658,-51995388695243,144842815720172,jazz funk
-134414457449461,-165268559939908,839460940474179,-134460223352994,133240505637751,133673279458822,experimental rock
-139887969211808,218956770626348,110586287264012,979701871808367,81482316524542,136682003840422,black metal
-144291424277613,-244811994477751,-722864287591402,-770310657092954,-23004818897801,126968438433636,big beat
-142572274247508,518061841306342,-913881717565707,121002440386238,-370256008171202,118896785123869,grindcore
-139121400078604,489777653746426,-787616669908091,-967372870371161,-726909504455435,114284380946187,chinese music
-160698574251482,-272464115150351,723992981821016,24774145222975,-452586564277797,115026521719132,groove metal
-131600022163822,677430673314824,-114369317450125,393305727061677,391132978177217,10055761361905,disco
-115124657185746,542623287781142,-32173546369716,-160567376530151,130756376574892,110628101054657,country gospel
-152992073647285,-100967498967788,33109401680096,68606468798128,-830105304028773,11197663689476,dirty south rap
-127937592548399,170148549894247,-167681013682134,993361682959579,119694720162697,866237632146167,british blues
-123904628551965,117869112422171,940882904589672,569440450848752,819822153324636,917077835806341,jazz funk
-13602735953744,-583599481675269,233101675584559,-799579552108731,305696725755694,104171212095421,blues-rock
-155801131275408,-520979708897993,772457816990427,228378000329458,-611092823876511,974766451793992,folk metal
-143561473146787,-354084838514233,295246458239647,32262376150005,-667206958348361,100295169176631,hard house
-131227479637285,216789293643617,-691869473808218,-429907550720932,242746417650591,939833484494271,electro rock
-119102877595764,11398285728915,-843603472314581,-127364995596376,692846184315467,832586133443299,opera
-116205606952509,394481017875815,276206200757915,-179561408460931,814026928147912,100875968860474,salsa
-140310994256707,198892348444358,-52497875797752,382193730100543,-669065911124263,894523115157185,electropop
-118694780508393,134884330017522,-167878452487782,-512255158828904,315445667178768,859439504243196,samba
-145244960542093,-125307896449167,716616949826168,288250731415103,825837010077781,105723788686242,heavy metal
-129170439005612,71010568203444,968704656913508,-672307776624,312325420643545,102806981789252,electroclash
-125866604364883,100742623386793,-130413815887191,-85216718960067,-104429870815415,847995716391385,nu jazz
-133218524137594,163943302048624,194555612389068,467937145519693,555736222579539,937548182708396,instrumental pop
-129417403633064,393552968905938,-887423308851446,-168893743030823,-140578170455397,957884944030973,black metal
-151329702714821,-198864030593423,-146072987483294,-65924254998487,-942920246437752,102873110717549,sympho black metal
-124585184549896,706503309425684,-145022920390248,-680503259319203,-275098045412036,834085779900308,pop
-366957629033868,-930657406468622,148061865305756,-141257294124259,-436985645169687,108909121010803,glam rock
-127435320676116,369710094337125,-122940653872296,-111435718030072,-613368133541206,874378066690422,dub
-13203569703018,-918567740627285,-482847954600568,-230954312971865,315468891277529,916238228909866,doo-wop
-145260220697095,-537579182189824,-41335879547923,449125426823035,-431138107540501,912335592637345,alternative metal
-16232101785041,-241443020945104,589426652046829,850587373611517,333314507859224,10584999658652,rock
-133215941800749,176364100513262,623462843507528,720315170436295,-219414138316388,666862921821233,post-grunge
-115427366274474,109848905347624,-112069672375667,-612598998341115,138828208222903,548443681536491,ccm
-139240651284878,-128047812983805,268946786284772,305117945545587,-623057700985975,712597292609252,jungle music
-116212989174535,446564900272327,-496140783152988,-104322919477047,682207576415117,639296821049295,pop rock
-127165370254841,194840105750106,-715265377356453,9642375497998,125532479962329,56967515644797,blues-rock
-134340904864864,69151778144215,756347725708653,249210090812408,90843398405252,600406186727833,sympho black metal
-130145111665154,154455017027965,-836693258325518,722608565221848,635162375842292,638180351657408,heartland rock
-130744688683968,222611507217288,-87584222977881,-475480426455392,-832211968361683,637957034958483,blues-rock
-132268485413772,-714373947817217,-662968753303166,-884537179985506,800405898018492,677750070351668,reggae
-138182050979746,-134086025254401,-137427224260176,-247129546544051,62918994152288,672806032880272,samba
-110224453288362,142309090948049,-132929584690043,-167794685382813,-79667237690403,564805495180702,doom metal
-140893880222095,835306518432107,-10558190460038,217853976405957,-900403837427369,512172161309227,hip hop
-127111965959989,136672256033484,150647885191182,158336435386106,339879586073095,63294039922418,zouk
-145724369892881,-815476552875593,-132919609466998,130916257850213,871645857884932,598725319350998,gangster rap
-845855133714715,102257621767776,-948527875117411,-316443544704421,118341736782085,302551111841401,chamber jazz
-151540863276012,-125385717480119,-166930013547286,886545120138128,-590855453410398,621130806849776,latin jazz
-145273198699622,-847896303208452,-763926307670696,106834956904206,-519330856544113,636528681633623,blues-rock
-142073892399963,-159484168840452,-236518022966315,-185643809033847,497172846668045,746056058989261,blues-rock
-131759944059748,153181038356745,198996531128006,578371662760506,-195406979853983,719027467962945,irish
-125694280775068,-114768800326146,655952981518377,510479167289791,125873311090759,66585362755219,ccm
-144793997081912,-112716927163476,574956240629487,563009690836355,873094293004711,754371471013248,rap rock
-116719531846591,12301027642312,102151990698647,-425259632033285,-250625502466697,653621041217733,lovers rock
-113579902126884,124092266943629,-134361852622647,-393243696538547,987674402732513,467885631790164,bebop
-153964705176369,-229594370446036,139757185033632,184243538127424,-155257475168227,717307317322079,europop
-110527993593406,979529871675819,-34987663736911,-603449474900447,770781380433393,546742514639208,salsa
-116683002271784,-266144516983898,707741407563463,-543800492669537,188671939980567,658174210100574,chill-out
-112846643640245,942571713150957,113576181810643,-594233557881491,524130268334209,630024747290231,cumbia
-147735026868121,-142486462664158,838903334782322,-449449232556485,-65424551045397,781982857069035,roots rock
-131487550653847,-17521691480353,135330020747695,-182597649272381,616007909565779,787786249632689,urban
-114926687790336,644057277787249,106323784507707,-883926893754754,369713398969473,668984322846276,gangster rap
-117293081834083,173942735789372,-136941329025217,-1755506617175,-339093412437803,558576265535045,soukous
-145029835991594,-268993732002826,-567700737588953,-128082321277881,412232840531558,783881952818632,blues-rock
-134358132145615,-117051614103069,-115861676915311,485703406276529,-544098139256469,53600309148405,grime
-142153464643187,-426546972946407,-719252610467523,459269493088337,-175606256696321,567979619600101,country gospel
-120602885443031,844464030095898,-767177646800104,293269087581192,-494614548183927,43635168577372,blues-rock
-105410042660265,-723799322979202,922380662051139,279246010828251,-193159503214577,534387951216897,dance pop
-119744733121139,673981534669523,179466452535964,-135607319275253,-108456371867744,66572762950409,southern gospel
-139549548412085,-153842516567103,-214488111394542,474872592245422,934737921845093,587083583165385,rock
-15168802820814,-147479251080123,334216815581525,108264987552643,-477766117866558,605712902156632,new wave
-148950154742104,-145782354741773,881365083932948,555061159877454,-570249404978374,654007767187715,dub
-106826381873796,524351017899919,-168731125542492,-102716416074927,100563794564613,321366139923987,dance pop
-144371523772151,-147215328840385,-747266349476396,985895424084405,358324508253948,516611138071465,indie rock
-119579614065097,333390796458156,165568558624491,242491377045536,671146864952849,459545186847655,hip hop
-135467714270477,-128626341883451,-148203001919893,481989606527271,845412847742001,436061591342116,blues-rock
-142639527201126,-155482062519017,10354925696079,666456110796022,427842090172097,541798558491298,black metal
-132216017209431,-698372419647711,-107973393313858,-120486488841284,-132719072889624,422308840139174,flamenco
-115113167736788,803477827332587,-801744036673974,-905793396362897,-773060481381177,308744806039593,musette
-133310113889663,-588065981111763,392417947433092,651822037301227,203109808966317,424228938734562,sympho black metal
-146712226652482,-142865298333055,-113631992237363,889171215075326,-471705574535967,376807616949549,blues-rock
-116375339567448,752959104579341,334970516671769,183469566608349,233488715130373,337281320860966,pop rap
-118815215224747,188634011439152,74832865383422,-594846224274341,249859424724393,4342216429237,electronic
-121916737300582,-482154268040646,13864021639631,53832853565791,126809674533052,460392956873948,southern rock
-129502730890725,-168308086788726,-995655368999227,-46680588338716,134487219321161,445793866352227,dance rock
-89677045129821,169743082051033,113012325711638,-230133762356962,497937725879502,37902099619149,progressive rock
-104895543196669,177124378683549,272841105151378,-809925158899102,-638059252285253,299530117503116,glam rock
-133701742165718,635227455178997,-114877843530992,260317299079353,-172141455614495,161510634349314,soft rock
-141773218056898,-107011587292098,155334728155557,441069690731505,-100180102866257,512021684780886,ballad
-140230013280595,-165625331057587,-102173802851137,-302699706439297,-392263763209687,378872303124714,twee pop
-129442298286151,117740841143676,185928694784815,144698919708415,-145986460734123,230598956391267,gangster rap
-132498022695559,-571574869417583,10911885274452,113573558920179,53815008058499,312516619173029,hip hop
-148148572706466,-168553058130338,112380399795077,806714142004793,-361232091352136,484872692783869,pop rap
-121210256417944,-12117677206942,-108862342697468,136030844022734,16811091475366,178166556263455,chill-out
-119546643491983,-170402288966911,-238857310996565,250480270334085,948022712799888,251089604443938,soft rock
-114072926398992,367285300563291,472954560946897,-432420412604604,318015296164779,279818633966266,southern gospel
-131110474623949,-68269907861898,-511262026315595,560533230159749,190616997006818,265946330936455,stoner metal
-118768763244141,-132602788702486,-113848545329453,-110512684397017,155251095000991,368629322301201,jazz rap
-129347739333181,-55726523329321,378825568238149,396269525677802,164308582921689,336268918936969,rap
-120060659904875,27072359991989,449380972806098,189373890263252,421665350632537,266983122272512,blues-rock
-119692566883158,184032568127587,118977820287967,608017012022934,-200130982592223,194860095444213,tech house
-117817613782896,-262252574665761,236266645137458,-408365351578929,518377584887629,219774495659599,dubstep
-121248568641013,127105454989516,389438102523793,177649544570612,-360670770888875,111296746497102,latin jazz
-13274109042205,-183887840180047,531263284297931,165838188495685,122103539340223,342335740733734,dance-punk
689184613546783,-293802808756742,297499842298526,-796833404709309,375141174861478,18619762099387,frevo
-111552852950739,671456818106924,-875389733174685,321995890393602,535282927031725,935010807790805,folk-pop
-173249288850727,-546139892209871,14083954765564,-343199571232411,670052977119166,-490127965168851,pop rap
-110378990154584,617076542183968,-150113048470259,506142277974434,909707296221683,340542794113972,jazz funk
-137150698648403,-111337863075662,353484978698109,-806617126664219,-923164131446873,325829626399727,soul jazz
-123902695235649,-303683593471151,472167819845182,-17714367777002,-181584175846347,319224489447071,rock
-850460463337781,227588801600741,-440200629044295,305546109149425,206049645737383,-533406585383368,religious music
-139231929599885,-140221404186302,857787129918126,480873211489746,-679532210231958,337084085496486,pop rap
-140315876761718,-915776582865123,135885029538282,580645045314912,-108411457958956,321647057593245,funk
-556124774891766,432546414420394,-425893088551383,-10827428484885,19915816653698,-170846922990418,progressive house
-106798930123469,215527215808973,79505032448395,126524936422813,-175977041603607,301547664231851,electro hip hop
-119162931076124,-764011058158675,103307761528454,-448361427218608,89472024929628,277944878189611,folk rock
-109380647193557,-7592634587301,302318355252628,-195338760893189,872977113637675,288002328885341,trip hop
-142400876635392,113595266847628,-682585474718022,182135299161582,-125367726605251,110995589201935,alternative hip hop
-647159170221119,445017547451515,-518365320962376,-10520360002795,8751922237771,373191703946119,power pop
-162773321618184,128256349439698,-112707908943383,106471643115564,-421322367289241,961695086285598,jazz blues
-127835225128917,820578094176491,-488856182264305,205212567491376,-872467466979805,-961737602830227,heavy metal
-578677355315893,343595278654202,533942109463399,-17783028528986,-121073127964324,55353970307732,dancehall
-109331153568482,108921498427783,-126936718098781,-946158997814767,-504071718542281,-321791481803105,smooth jazz
-117872051515863,107964088341721,230353612007653,362202082037599,-12538008101733,120044950446749,brazilian pop music
-37454231289885,-881373568068834,-189440986325172,-203682488828894,-449689084147082,781645244897212,folk rock
-116448237299972,104881718046478,197112417142913,57443099301532,544392534085149,565456564811829,comedy rap
-123461228315494,-869537167187449,-619914451333611,-177836132314016,159469235986292,746200416930734,parody
-243599226735741,270659537614774,-538435410027915,419600537075511,412290053481293,887224289312594,blues
-110147488597066,-182764980842826,-168228200671517,191639870067218,105688116088896,-113033794363975,dance rock
-113909301698787,-161736355011069,975340801811032,895470041737372,137911740824664,311039941617116,new wave
-106555989518405,105670388387272,-989092864816278,-106977591903331,-128416759990928,-618613396004411,sympho black metal
-127421664879768,-361491275939637,-90995085445536,73997545961435,-57112389686645,-487359533854545,viking metal
-120549662814952,-893829001693465,136106279295604,-359669309298784,47574167955259,159444906849184,dance rock
-102383623662717,795381653264761,266114566639493,-840964147172988,546797814216291,-305675232070981,comedy
-129490649040797,-898718638454481,152390714323798,204689232719361,-357481887510238,173379438158174,hip hop
-110351972455592,-76591294011566,660736246735334,-144115758013522,749053649003513,135666636547394,charanga
-11613107382804,-416431068570502,-290366969418716,832879419880581,140047126713041,-301987964047162,grunge
-14346258035312,824540913076959,-109310317654018,-11222335412737,139544406796536,87591742646336,country blues
-127914037155663,-616721492132519,185645770264854,-528700264326734,-140864136029088,120326624328752,chicago house
-100958194681339,156326455525664,846624354354403,-805858459695507,-886599414625848,176735334264731,tech house
-117329264479591,-300117585217373,-107574633246638,609690046738783,714306920851108,-66246678705177,blues-rock
-101079599965167,128579036032892,103531356410842,-112688213595385,-790659217322782,376946415116178,space age pop
-106360358110077,137131044287771,-845267006017997,-87671425416212,-172918252605547,-109233706101356,hardcore techno
-10911786947587,367383565922313,796103139297156,-244397045857975,419497393081966,-120918002026725,lullaby
-103991731189257,432441921235578,442542359598525,-414950793024178,68354956864921,-205142931029915,jazz funk
-117925803850269,-511303016505504,642606286468543,-131828540086285,-858268384549972,102768829648866,dubstep
-937294845717564,127255815712843,-145575750472739,52718829941004,166200639766368,-254493311650796,vocal jazz
-107930411302929,280102238807403,-394378227776589,-485886962412899,72366782706024,-977033666111404,new orleans blues
-106378254057419,281326062993477,-429128055612416,-284573065968616,49951039736551,-111495923396836,art rock
-121939429269883,-404403797045353,164716652290973,-142593092962474,-175774341722268,15287503430202,hardcore punk
-114679692622183,176535111516738,-117078472135478,-335029237296787,-756536305136511,-119977638372538,new beat
-123583015169385,-112235155321408,770678075436128,376338244308223,718346407111093,393301137944283,post-grunge
-128756434783603,-18002701523578,115345037825778,110558437978585,172635643002852,712296061476059,alternative dance
-110560730110574,-822348548540248,943041983111234,370470220691101,109331708277432,-217730660575288,art rock
-923157867605537,177438771844621,-693240992278416,122290788171408,164803622798166,-297439754746129,brazilian jazz
-115174293346128,-410434661660663,-139399798634502,-74556849705347,207869092058829,-144950958320081,religious music
-97338799391555,698196385963325,735502971335332,-824473598284569,143248466891709,-125215136351435,electronica
-129526754305346,-119775929449521,310499441652454,-285999379366273,-879345090055068,238009589364858,future jazz
-111278593810074,-525197483471869,252591800680594,-121827133086282,-429323779366246,199495302904557,rock
-111439368554961,-800140767827491,-163501836927862,103670735963461,121748177024755,-250027578829667,power pop
-111909652742985,-241938136257644,357705414714228,-775086394035956,492692576118874,-525540130564696,new romantic
-111473964800894,436827555458602,1524471405139,-120403854278605,-151011553047514,550664411920062,dance pop
-675684260110359,346718332026612,-433803473379276,-659855777417497,143254075063351,-365918635702959,meditation
-12442788049562,-849569370627332,332642795091532,918028171229536,455455018293243,-351721706180285,dirty south rap
-133795934749448,-165908114810393,-972864172365418,293062794565874,-325185061259285,-245035732077784,rock
-128083014965509,-251025446321222,177620406403543,262724250567041,634771277683506,-688295756568991,speed metal
-111236407320546,19367913714311,-451775965448651,24648145082573,572644353451359,-159744703996111,dance rock
-109297955468274,194150534933955,136298085286955,280549891614419,491601255378441,-917830272185103,salsa
-135735086027932,-60643456513701,298306002217925,200568419213072,-166211009549648,-151655488367298,pop rock
-11423960548558,-86208887066021,-684016395554167,-569139933705255,37227866056023,-140042964107848,alternative hip hop
-128925408777956,-159965075861069,-128084511616648,-171208867231972,-438446736093281,-136956025258253,turnablism
-103997992501051,809174028124958,-136767069684566,371025508244602,988578555563057,-341405406322808,hard house
-98087454875431,146498057896205,550112598914033,-777332949268921,-986960553980531,-191037054117575,underground rap
-107630401857057,123764307192025,753479526773039,-390206652277626,527376649268948,-119045183190445,ccm
-121765007226609,805612860440381,-764870558089247,209299272202477,-981672720469411,-316143251619866,bass music
-116151391017982,-834411021679812,221711398962976,328641847861834,886125684486917,-12144582316113,blues-rock
-107939519455255,175442808774012,47879957988331,275143657836002,517743932044041,-156873293241554,hip hop
-109958672062184,166738898249781,246790474299119,124918663481698,-126175404556097,-268170534543439,dance pop
-110835574717409,326935681252356,-849355627803214,613003210772614,236235732949541,-25907162027699,heavy metal
-117792905823356,-105584332500621,-126706560993536,148859763272552,600213928361943,-206878389755491,black metal
-110177932895201,260464903767459,86596111805116,-959858546134166,-365188035491188,-120857584142437,pop rap
-130063607725345,43773217981747,-440069002092931,176521242646362,-209439553677071,-250233488976039,country rock
-104409567084524,281387176988689,110193003090376,-193555909248817,-131869474232224,-576343021593476,dance rock
-10473112357245,177710292025009,200997111698007,148894515896935,-539286219817597,-325401147814822,gypsy jazz
-915765748195986,141766081554724,-164113081053642,-215176780645261,378717817354559,-30603795291247,bluegrass
-130285835736081,-218495148179656,110880600999048,997379312142534,135908982333755,-336363122028402,hip hop
-112918280024634,-597718955051218,-144367676285568,-699442227502522,340718853197567,-259213548971885,roots reggae
-935492942002089,12654995084971,-133456990806876,-358354997455344,320818182955653,-356847577393788,tango
-105777420978386,-535586323639907,-764782776901353,-143472494731921,626629150462499,-118766698368642,trip hop
-10555068442559,174901177806843,-125818768650264,-267570303376192,-240308772345999,-282287654938433,pop rock
-107622737689872,947358545056097,106957024131486,-599980671016515,-341349032246278,-10080499635463,soukous
-108673694510407,-491777999207069,105132864188763,-646411378832437,-400240541231633,-882488676644437,blues-rock
-100762384928919,343035099158426,10251394285368,-162729562373434,864455282746761,-168136580348005,smooth jazz
-111204380920844,-825449400298305,465531219243104,-16340946467859,89649872414087,-118030337462324,illbient
-952006772734954,118898351832512,-103681324291366,-323534464478408,-110326952102281,-326392081296475,bhangra
-111121645971401,-269804319114494,-10351707997504,-264639414503482,-219187512102706,-224449705395531,glam rock
-988439018715173,479328159763791,301374153593947,-36462702643127,118937258624124,-168849795767302,new wave
-895462834980432,614742331489642,861379830189703,-101067882640585,102872804756649,-230086895117552,chamber jazz
-112022628422661,-582596186950072,310189977563612,-102065570140671,285484284607431,-168573028464961,pop rock
-125314758518923,-132755375297868,825943910513842,668541824714976,184397525183683,-102616139801217,blues-rock
-126190501465807,-122047819832988,-142510160811844,77320836603723,-224630113204647,-256522259993161,black metal
-993864858835214,655096599381486,114789465726955,-432377190953211,408060881279363,-197468743893711,charanga
-929879616301056,-455188745724255,246953922790122,-31139967160201,-595647497366963,-102617209140914,rock
-122663112376261,-22987450647428,115908672547045,-673216237440851,782922598674176,-573840638374054,christian metal
-507964327998743,416418332287001,-492404424124309,207079213734141,-145759632187355,711568120040524,oi
-91937996616492,108807986451332,643216209452054,-143751082161127,-573325596177202,-222125181020161,folk-pop
